No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info
366;乔丹-克拉克森;Jordan Clarkson;1;2;9;85;70;90;85;90;75;75;75;75;85;75;88;83;86;31;0;0;0;0;0;0;201446;549;0
367;米卡尔-布里奇斯;Mikal Bridges;3;2;8;65;83;87;89;88;73;74;85;83;85;87;86;84;86;27;5;0;0;0;0;0;201810;415;0
368;布兰登-英格拉姆;Brandon Ingram;3;2;10;79;83;87;90;83;70;75;71;85;84;87;90;77;85;26;7;0;0;0;0;0;201602;162;布兰登·泽维尔·英格拉罕（英语：Brandon Ingram，1997年9月2日—），美国职业篮球员，现效力于NBA球队多伦多猛龙。在2016年NBA选秀以第二顺位被洛杉矶湖人选中，并入选NBA最佳新秀阵容的第二队。
369;杰伦-布伦森;Jalen Brunson;1;2;9;84;84;88;87;81;64;69;80;86;87;84;92;77;85;27;5;0;0;0;0;0;201833;419;0
370;林庭谦;Benson Lin;2;0;8;81;85;94;86;79;73;73;78;75;82;85;89;79;85;24;4;0;0;0;0;0;202003;5001;林庭谦（1999年10月31日—）为台湾男子篮球运动员，现效力于中国男子篮球职业联赛（CBA）天津荣钢先行者，场上位置为得分后卫。
371;王睿泽;Wang Ruize;3;0;8;72;85;89;83;82;67;78;77;83;86;78;86;79;84;28;5;0;0;0;0;0;201900;2475;王睿泽，1995年6月27日出生，中国职业男子篮球运动员，场上司职前锋，效力青岛国信海天篮球俱乐部。
372;杰伦-萨格斯;Jalen Suggs;2;1;9;80;82;85;77;88;71;68;86;80;82;72;84;83;84;22;2;0;0;0;0;0;202105;658;杰伦·拉申·萨格斯（英语：Jalen Suggs，2001年6月3日—）为美国职业篮球运动员，场上主打后卫位置，现效力于NBA奥兰多魔术。大学就读冈萨加大学效力于冈萨加斗牛犬队，在2021年NBA选秀中以首轮第5顺位被奥兰多魔术选中。
373;邹雨宸;Zou Yuchen;5;0;9;66;88;65;76;87;88;85;64;87;72;74;80;89;84;27;10;0;0;0;0;0;201400;5001;邹雨宸（1996年7月5日—），中国职业篮球运动员，身高2.07米，司职中锋，现效力于CBA球队北京紫禁勇士。
374;乔基-辛察泽;Giorgi Tsintsadze;1;0;7;85;82;83;84;76;62;71;79;81;83;82;89;75;83;37;0;0;0;0;0;0;0;5001;0
375;莱昂内尔-保罗;Leonel Paulo;4;0;7;80;86;74;76;78;81;80;74;85;77;78;85;82;83;37;0;0;0;0;0;0;0;5001;0
376;奥斯汀-里夫斯;Austin Reaves;2;1;9;80;80;85;85;85;65;70;80;80;85;85;87;79;83;25;2;0;0;0;0;0;202100;581;0
377;刘铮;Cheng Liu;3;0;7;74;82;87;75;82;69;70;92;73;77;75;81;82;83;33;8;0;0;0;0;0;201600;5001;刘铮（1990年11月24日—）为台湾男子篮球运动员，主打小前锋位置，现效力于中国男子篮球职业联赛（CBA）上海大鲨鱼。
378;乔吉-谢尔马迪尼;Giorgi Shermadini;5;0;7;66;90;68;64;86;88;77;64;88;73;65;78;85;82;34;0;0;0;0;0;0;0;5001;0
379;萨德-麦克法登;Thaddus McFadden;1;2;7;84;68;83;70;80;70;70;87;75;85;69;81;82;82;36;0;0;0;0;0;0;0;5001;0
380;约纳斯-瓦兰丘纳斯;Jonas Valančiūnas;5;0;10;69;89;75;80;85;69;89;66;80;70;78;83;82;82;31;10;0;0;0;0;0;201105;702;约纳斯·瓦兰丘纳斯（立陶宛语：Jonas Valančiūnas；1992年5月6日—），出生于立陶宛乌田纳，为现役立陶宛职业篮球运动员。目前效力于NBA萨克拉门托国王，场上主要位置为中锋。
381;路易吉-达托梅;Luigi Datome;3;4;7;84;85;79;77;70;76;80;72;84;76;77;85;76;82;35;0;0;0;0;0;0;0;5001;路易吉-达托梅（Luigi Gigi Datome，1987 年 11 月 27 日出生），意大利前职业篮球运动员。他身高 2.03 米（6 英尺 8 英寸），司职小前锋和大前锋。达托梅曾在 2016 年入选欧洲联赛二队。
382;帕布罗-班切罗;Paolo Banchero;5;4;10;68;85;74;77;85;74;82;71;85;75;75;82;82;82;20;1;0;0;0;0;0;202201;190;0
383;马提恩-莫;Mathiang Muo;2;3;7;77;82;87;70;79;70;66;85;83;86;71;83;79;81;36;0;0;0;0;0;0;0;5001;Mathiang Mauot Muo（生于 1987 年 3 月 4 日）是一名澳大利亚-南苏丹籍职业篮球运动员，现效力于 NBL1 西部的 South West Slammers 篮球队。他曾在 2009 年至 2013 年期间在美国打了四个赛季的大学篮球，之后加入了美国国家篮球联赛（NBL）的珀斯野猫队。他是野猫队 2014 年冠军队的一员，但因伤在两个赛季中只打了 15 场比赛。与野猫队分道扬镳后，穆奥在州联赛中取得了成功，先后参加了SBL、SEABL、NBL1和昆士兰州联赛（QSL）。他曾在 2014 年随东珀斯老鹰队（East Perth Eagles）夺得 SBL 总冠军，2018 年随霍巴特充电器队（Hobart Chargers）夺得 SEABL 总冠军。
384;克里斯-古尔丁;Christopher Goulding;2;0;7;77;80;87;82;74;64;78;76;79;88;81;86;75;81;34;0;0;0;0;0;0;0;5001;克里斯托弗-詹姆斯-古尔丁（Christopher James Goulding）（1988 年 10 月 24 日出生）是澳大利亚职业篮球运动员，效力于全国篮球联赛（NBL）墨尔本联合队。他于 2006 年首次参加 NBL，当时是布里斯班子弹队（Brisbane Bullets）的发展球员，随后效力于珀斯野猫队（Perth Wildcats）和黄金海岸烈焰队（Gold Coast Blaze），之后定居墨尔本。在 NBL，古尔丁三次获得总冠军，两次入选全 NBL 一队。他还曾在 2014 年获得联盟得分王，并在 2018 年获得总决赛 MVP 荣誉。古尔丁是澳大利亚Boomers队的常客，但由于父亲的关系，他还持有英国护照，这让他在2014年至2016年期间能够以当地球员的身份在西班牙和意大利打球。
385;亚卡-布拉日奇;Jaka Blažič;2;3;7;84;78;89;66;74;69;73;83;78;86;66;83;78;81;33;0;0;0;0;0;0;0;5001;0
386;赫拉多-苏埃罗;Angel Suero;2;0;7;77;80;88;68;82;76;66;81;79;85;71;81;80;81;34;0;0;0;0;0;0;0;5001;0
387;邹阳;Yang Zou;4;0;8;64;85;74;75;80;75;87;80;81;72;74;78;84;81;24;1;0;0;0;0;0;202305;714;邹阳（2000年5月7日—），重庆人，中国男子篮球运动员，司职大前锋或小前锋，现效力于中国男子篮球职业联赛（CBA）的福建鲟浔兴篮球俱乐部，前中国大学生篮球联赛（CUBA）清华大学队成员，曾三次取得CUBA冠军。
388;贺希宁;He XiNing;2;0;9;78;71;85;82;75;80;70;76;87;86;75;84;78;81;27;9;0;0;0;0;0;201500;5001;贺希宁（He Xining），1997年1月22日出生于山东省济南市，中国篮球运动员，场上司职后卫，效力于深圳新世纪烈豹俱乐部。
389;崔永熙;Cui Yongxi;4;0;10;72;86;82;77;81;68;71;84;84;77;73;84;78;80;21;2;0;0;0;0;0;202200;427;崔永熙，2003年5月28日出生于广西壮族自治区南宁市，祖籍广东省茂名市，中国职业篮球运动员，司职小前锋，效力于广州龙狮队。
390;徐杰;Xu Jie;1;0;8;81;80;88;83;76;63;66;74;77;88;75;87;72;80;24;3;0;0;0;0;0;202100;2883;徐杰（2000年1月16日—），中国大陆职业男子篮球运动员，司职控球后卫，目前效力于CBA联盟的广东华南虎队，同时是中国国家男子篮球队集训队员。其亦是惠州市第一位参加中国男子篮球职业联赛的运动员，以及是首位在上述赛事的总决赛中上场比赛的00后篮球员。
391;阿里-海达尔;Ali Haidar;4;0;7;81;78;80;64;80;82;74;72;77;81;72;80;81;80;33;0;0;0;0;0;0;0;5001;穆罕默德-阿里-海达尔（1990 年 7 月 20 日出生于黎巴嫩）是一名黎巴嫩裔加拿大篮球运动员，效力于黎巴嫩篮球联赛贝鲁特俱乐部。
392;李凯尔;Kyle Anderson;3;2;10;75;80;85;80;85;65;70;75;75;80;70;82;76;80;30;9;0;0;0;0;0;201430;794;李凯尔（英语：Kyle Forman Anderson，直译：凯尔·福曼·安德森，1993年9月20日—），出生于美国纽约州纽约市，职业篮球运动员，目前效力于NBA联盟的迈阿密热火。毕业于加州大学洛杉矶分校，于2013–14赛季获得Pac−12最佳阵容第一队的荣誉后，他宣布参加2014年NBA选秀大会，于首轮第三十顺位被马刺选中。
393;杰伦-杜伦;Jalen Duren;5;0;9;67;86;55;68;86;81;89;67;86;45;60;71;87;80;20;1;0;0;0;0;0;202213;448;贾伦-蒙特兹-杜伦（/ˈdʌrən/ DURR-ən,出生于 2003 年 11 月 18 日），美国职业篮球运动员，现效力于美国国家篮球协会（NBA）底特律活塞队。他曾在大学篮球队孟菲斯老虎队效力。他是一名中锋，身高 6 英尺 10 英寸（2.08 米），体重 250 磅（113 公斤）。他是公认的五星新秀，也是 2021 届最优秀的球员之一。杜伦在重新分类前曾被列为 2022 届的最佳球员。
394;布兰登-米勒;Brandon Miller;4;3;9;71;80;84;86;84;67;68;75;80;84;82;85;75;80;20;0;0;0;0;0;0;202302;1257;布兰登·乔丹·米勒（英语：Brandon Jordan Miller，2002年11月22日—）美国职业篮球运动员，大学效力于阿拉巴马大学篮球队。他是五星高中生和2022年级的最佳球员之一。2023年NBA选秀中被夏洛特黄蜂以第一轮第二顺位选中。
395;陈盈骏;Ying-Chun Chen;1;0;9;81;73;78;83;80;68;69;80;70;78;75;81;78;80;30;7;0;0;0;0;0;201702;5001；陈盈骏（1993年6月9日—）为台湾男子篮球运动员，场上位置为控球后卫，现效力于中国男子篮球职业联赛北京首钢。;
396;艾曼塔斯-本齐乌斯;Eimantas Bendzius;3;4;7;75;82;82;74;74;64;75;74;83;81;78;82;73;79;33;0;0;0;0;0;0;0;5001;0
397;罗杰-波戈伊;Roger Ray Pagoy;2;3;7;80;75;80;74;74;74;74;79;75;80;71;80;78;79;31;0;0;0;0;0;0;0;5001;0
398;阿瑟姆-马雷;Assem Marei;5;0;7;70;83;78;68;75;83;78;58;81;73;69;79;78;79;31;0;0;0;0;0;0;0;5001;0
399;安东尼奥-蒙泰罗;Antonio Monteiro;4;0;7;82;80;76;78;76;71;78;62;80;79;77;84;74;79;34;0;0;0;0;0;0;0;5001;0
400;鲍比-波蒂斯;Bobby Portis;5;4;9;60;80;81;80;82;68;85;68;76;78;73;78;79;79;29;8;0;0;0;0;0;201522;390;0
401;约什-哈特;Josh Hart;3;2;8;73;81;79;76;80;63;81;79;70;74;74;78;79;79;28;6;0;0;0;0;0;201730;493;0
402;陈国豪;Guo Hao Chen;4;0;8;67;86;65;67;85;80;76;71;85;72;66;75;82;79;24;1;0;0;0;0;0;202301;2687;陈国豪，1999年8月12日出生于广东省揭阳市，中国职业男子篮球运动员，司职大前锋，毕业于广东工业大学，效力于CBA北京紫禁勇士篮球俱乐部。
403;崔晓龙;Cui Xiaolong;1;0;7;80;78;72;75;81;64;68;84;71;75;70;79;79;79;25;3;0;0;0;0;0;202104;5001;崔晓龙，生于1999年2月19日，河南周口人，中国篮球运动员，司职后卫，效力于CBA江苏男篮。
404;小海梅-哈克斯;Jaime Jaquez Jr.;3;2;8;70;82;73;81;84;67;70;77;80;75;75;78;77;79;23;0;0;0;0;0;0;202318;2915;小哈梅·哈克兹（英语：Jaime Jaquez Jr.，2001年2月18日—）为美国职业篮球运动员，场上位置为得分后卫，现效力于NBA迈阿密热火。
405;基根-穆雷;Keegan Murray;4;3;9;63;83;87;80;83;69;68;74;78;83;75;82;75;79;22;1;0;0;0;0;0;202204;631;基根-默里（Keegan Murray，2000 年 8 月 19 日出生），美国职业篮球运动员，现效力于美国国家篮球协会（NBA）萨克拉门托国王队。在 2022 年 NBA 选秀大会上，他被萨克拉门托国王队以第四顺位选中。他是克里斯-穆雷（Kris Murray）的孪生兄弟。
406;贾巴里-史密斯;Jabari Smith Jr.;4;5;9;63;83;79;78;81;70;80;70;79;75;80;79;78;79;20;1;0;0;0;0;0;202203;297;小贾巴里·史密斯（英语：Jabari Smith Jr.，2003年5月13日—），美国篮球运动员。现效力于NBA联盟休斯敦火箭，场上位置为大前锋。
407;戈兰-德拉季奇;Goran Dragic;1;2;10;84;71;86;76;69;67;69;74;72;88;73;84;71;78;36;14;0;0;0;0;0;200845;205;0
408;内马尼亚-拉多维奇;Nemanja Radovic;3;4;7;82;67;80;77;82;67;75;71;69;78;77;79;76;78;31;0;0;0;0;0;0;0;5001;0
409;特里-特拉佩;Terry Tarpey;3;0;7;78;79;77;77;79;75;65;72;78;72;73;79;74;78;29;0;0;0;0;0;0;0;5001;0
410;科里-约瑟夫;Cory Joseph;1;2;8;71;83;76;78;83;83;81;64;78;71;72;78;79;78;30;10;0;0;0;0;0;201129;1620;科里·艾佛林·约瑟夫（英语：Cory Ephram Joseph，1991年8月20日—），加拿大篮球运动员，现效力于NBA奥兰多魔术。司职控球后卫。
411;乔治-古铁雷斯;Jorge Gutiérrez;1;2;7;81;78;82;68;80;61;70;74;75;85;69;81;74;78;34;0;0;0;0;0;0;0;5001;0
412;周琦;Zhou Qi;4;5;9;60;80;70;66;79;85;85;70;75;70;70;71;85;78;26;7;0;0;0;0;0;201643;338;周琦（1996年1月16日—），中国篮球运动员，主要担任中锋。
413;王哲林;Wang Zhelin;5;4;7;69;80;61;66;83;84;78;68;78;63;62;71;84;78;29;9;0;0;0;0;0;201657;309;王哲林（1994年1月20日—），出生于中国福建省福州市，现役中国篮球运动员，现效力于CBA联盟的上海大鲨鱼队。2016年NBA选秀中被孟菲斯灰熊队选中，和周琦一起成为成为继宋涛、王治郅、姚明、巴特尔、薛玉洋、易建联、孙悦之后第八位被NBA选中的中国籍篮球运动员。
414;布兰丁-波杰姆斯基;Brandin Podziemski;2;3;8;77;77;79;77;80;70;77;75;70;73;68;77;78;78;21;0;0;0;0;0;0;202319;2916;布兰丁·波齐姆斯基（英语：Brandin Podziemski，2003年2月25日—）是一名波兰裔美国职业篮球运动员，目前效力NBA金州勇士，场上位置为得分后卫。在2023年美国国家篮球协会（NBA）选秀会上被金州勇士以首轮第19顺位选中。他大学时先后在伊利诺伊大学和圣克拉拉大学打球。
415;米哈伊尔-贝里什维利;Mikheil Berishvili;3;4;7;75;76;76;73;73;69;71;80;78;78;76;78;75;77;36;0;0;0;0;0;0;0;5001;0
416;尼古拉-伊万诺维奇;Nikola Ivanovic;1;0;7;78;73;81;78;73;58;62;82;74;77;76;81;72;77;29;0;0;0;0;0;0;0;5001;0
417;盖尔维斯-索拉诺;Gelvis Solano;1;0;7;85;67;84;78;67;67;68;73;66;80;74;82;70;77;29;0;0;0;0;0;0;0;5001;0
418;林葳;Lin Wei;2;3;10;73;80;84;76;76;61;67;80;82;81;71;80;73;77;20;2;0;0;0;0;0;202200;585;林葳，2003年12月25日出生于福建厦门，中国职业男子篮球运动员，司职控球后卫/得分后卫，效力于CBA南京同曦篮球俱乐部。
419;特雷斯-杰克逊-戴维斯;Trayce Jackson-Davis;5;4;7;51;85;65;67;85;80;80;68;85;60;63;70;83;77;24;0;0;0;0;0;0;202357;2913;特雷斯·杰克逊-戴维斯（英语：Trayce Jackson-Davis，2000年2月22日—），美国职业篮球运动员，司职大前锋或中锋。在2023年NBA选秀中，被金州勇士用从华盛顿奇才获得的第二轮总第57签位选中。
420;阿门-汤普森;Amen Thompson;3;2;9;77;83;64;68;85;64;73;77;81;65;66;74;77;77;19;0;0;0;0;0;0;202304;693;阿梅兹·XLNC·“阿门”·汤普森（英语：Ameiz XLNC Amen Thompson，2003年1月30日—），美国职业篮球运动员，司职控球后卫，在2023年NBA选秀中被休斯敦火箭以第1轮第4顺位选中。他是另一名NBA球员奥萨尔·汤普森的同卵双胞胎哥哥。
421;罗伯特-科温顿;Robert Covington;3;4;8;60;79;75;76;80;71;76;82;70;70;70;71;80;77;34;11;0;0;0;0;0;201300;548;罗伯特-考文顿（Robert Covington，出生于 1990 年 12 月 14 日），美国职业篮球运动员，曾效力于美国国家篮球协会（NBA）费城 76 人队。他曾在田纳西州立老虎队打大学篮球，2018 年入选 NBA 全明星防守第一阵容。
422;巴尔文;Ondrej Balvin;5;0;8;67;91;69;57;85;74;79;66;75;64;68;74;80;77;31;0;0;0;0;0;0;0;5001;奥德日-巴尔维（Ondřej Balvín，1992 年 9 月 20 日出生），捷克职业篮球运动员，曾效力于中国篮协山西龙队。身高 7 英尺 1.5 英寸（2.17 米），司职中锋。除拉脱维亚外，巴尔文还在捷克、西班牙、德国和日本打过俱乐部篮球。
423;斯特凡-约维奇;Stefan Jovic;1;0;7;86;78;77;67;65;66;70;74;71;79;70;80;70;76;32;0;0;0;0;0;0;0;5001;斯特凡-约维奇（塞尔维亚斯拉夫语：Стефан Јовић，1990 年 11 月 3 日出生）是塞尔维亚职业篮球运动员，效力于 ACB 联盟的萨拉戈萨篮网。他代表塞尔维亚国家篮球队参加国际比赛。他身高 1.98 米（6 英尺 6 英寸），司职控球后卫。
424;雅各布-切巴舍克;Jakob Čebašek;3;4;7;72;78;75;70;69;72;71;80;78;73;69;75;74;76;32;0;0;0;0;0;0;0;5001;0
425;拉夫特里斯-博霍里迪斯;Lefteris Bochoridis;2;1;7;81;72;80;71;78;68;70;76;73;79;67;77;75;76;29;0;0;0;0;0;0;0;5001;0
426;加布里埃留斯-马尔杜纳斯;Gabrielius Maldunas;5;4;7;62;82;77;67;78;83;68;60;77;75;66;75;76;76;30;0;0;0;0;0;0;0;5001;0
427;泰奥-马勒东;Théo Maledon;1;2;8;83;68;86;65;66;63;67;81;69;80;72;80;72;76;21;2;0;0;0;0;0;202034;1272;Théo Louis Maledon（法语：[teo malɛdɔ̃]；生于 2001 年 6 月 12 日）是一名法国职业篮球运动员，效力于法国 LNB Élite 和欧洲联赛的 LDLC ASVEL。
428;乔治-卡马乔;Jorge Camacho;4;0;7;70;83;68;68;74;84;73;64;79;73;72;76;77;76;34;0;0;0;0;0;0;0;5001;0
429;弗朗西斯科-克鲁兹;Francisco Cruz;2;0;7;84;77;79;66;80;66;70;68;74;78;73;79;72;76;33;0;0;0;0;0;0;0;5001;0
430;张镇麟;Kevin Zhang;3;4;7;66;78;79;70;85;65;78;65;78;80;63;74;75;76;24;1;0;0;0;0;0;202200;744;张镇麟（1999年1月28日—），辽宁沈阳人，中国男子篮球运动员，现效力于中国男子篮球职业联赛（CBA）辽宁飞豹队。CBA20-21赛季最佳星锐球员。CBA20-21赛季最佳阵容二阵 。
431;焦泊乔;JiaoBoQiao;5;0;8;62;87;68;61;83;79;72;64;82;65;65;73;78;76;22;2;0;0;0;0;0;202200;490;焦泊乔，2001年9月2日出生，中国职业男子篮球运动员，司职大前锋，效力于CBA龙狮篮球俱乐部。
432;李弘权;LiHongQuan;4;0;9;65;86;85;71;80;67;76;65;76;77;63;78;74;76;22;2;0;0;0;0;0;202200;5001;李弘权，2001年9月29日出生于加拿大多伦多市，中国篮球运动员，司职大前锋，效力于上海久事大鲨鱼俱乐部。
433;特雷-墨菲;Trey Murphy III;3;4;8;55;79;84;80;82;68;62;76;75;85;70;76;73;76;23;2;0;0;0;0;0;202117;1337;肯尼斯·“特雷”·墨菲三世（英语：Kenneth Trey Murphy III，2000年6月18日—），是美国职业篮球运动员，目前效力于国家篮球协会（NBA） 的新奥尔良鹈鹕队。他在大学时期为莱斯大学和弗吉尼亚大学打过大学篮球。
434;佩顿-普理查德;Payton Pritchard;1;0;8;79;81;80;76;79;60;71;65;70;76;70;80;70;76;25;3;0;0;0;0;0;202026;1400;佩顿·迈克尔·普里查（英语：Payton Michael Pritchard，1998年1月28日—），美国职业篮球运动员，现效力于NBA联盟波士顿凯尔特人，场上位置为控球后卫。
435;约安尼斯-帕帕佩特鲁;Ioannis Papapetrou;3;4;7;78;70;80;79;67;73;66;69;74;77;76;79;68;75;29;0;0;0;0;0;0;0;5001;0
436;樊尚-普瓦里耶;Vincent Poirier;4;5;8;72;72;65;66;84;73;80;65;77;68;67;71;79;75;29;3;0;0;0;0;0;201900;2093;文森特-扬-波瓦里耶（Vincent Yann Poirier）（1993 年 10 月 17 日出生）是一名法国职业篮球运动员，现效力于土耳其 Süper Ligi 篮球联盟和欧洲联赛的阿纳多卢埃菲斯队。他还代表法国国家队参加国际比赛。
437;丹尼尔-阿米戈;Daniel Amigo;5;0;7;70;77;66;73;73;71;81;62;80;70;70;75;74;75;27;0;0;0;0;0;0;0;5001;0
438;优素福-阿布舒瓦;Youssef  Aboushousha;2;0;7;79;68;84;71;73;67;72;76;67;78;70;77;74;75;30;0;0;0;0;0;0;0;5001;0
439;卡梅伦-约翰逊;Cameron Johnson;4;3;8;55;72;86;74;76;74;74;65;85;77;68;75;74;75;27;4;0;0;0;0;0;201911;737;0
440;祝铭震;Zhu Ming Zhen;3;0;7;68;80;87;74;80;64;65;66;76;74;77;78;69;75;27;4;0;0;0;0;0;202000;746;祝铭震（1996年10月8日—），中乌混血儿，仫佬族人，中国大陆职业男子篮球运动员，司职小前锋，现效力于CBA联盟的南京头牌苏酒。
441;张本天杰;Tenketsu Harimoto;3;0;7;76;71;65;74;77;70;77;65;71;68;70;72;74;74;29;0;0;0;0;0;0;0;5001;名古屋钻石海豚
442;金丸晃辅;Kosuke Kanamaru;2;0;7;79;68;82;76;65;67;76;70;67;81;72;78;70;74;32;0;0;0;0;0;0;0;5001;岛根魔术
443;米哈利斯-隆齐斯;Michalis Lountzis;1;2;7;84;73;81;74;64;61;62;75;69;74;70;80;66;74;25;0;0;0;0;0;0;0;5001;0
444;穆斯塔法-法尔;Moustapha Fall;5;0;7;75;73;75;76;69;77;72;55;80;73;73;78;71;74;31;0;0;0;0;0;0;0;5001;0
445;凯文-潘戈斯;Kevin Pangos;1;2;8;85;76;74;75;70;58;61;72;75;79;68;81;66;74;31;1;0;0;0;0;0;202100;2071;凯文-约瑟夫-潘戈斯（Kevin Joseph Pangos，1993 年 1 月 26 日出生）是一名加拿大-斯洛文尼亚职业篮球运动员，曾效力于西班牙 ACB 联赛瓦伦西亚队和欧洲联赛。他的大学篮球生涯效力于西海岸联盟的贡萨加牛头犬队。他被《体育新闻》评为 2015 年西海岸联盟年度最佳球员，并入选全美第三阵容。潘戈斯还曾代表加拿大队在国际舞台上亮相。
446;菲利普-斯克鲁布;Philip Scrubb;1;2;7;78;71;76;68;71;66;69;74;72;80;66;76;72;74;31;0;0;0;0;0;0;0;5001;菲利普-亚历山大-斯克鲁布（Philip Alexander Scrubb，1992 年 11 月 27 日出生）是一名加拿大职业篮球运动员。他最近效力的球队是 Basketbol Süper Ligi（BSL）的 Bahçeşehir Koleji。
447;艾萨克-福图;Isaac Fotu;4;0;7;75;71;63;75;81;67;74;66;76;70;70;73;74;74;29;0;0;0;0;0;0;0;5001;0
448;沃克-凯斯勒;Walker Kessler;5;0;8;61;83;60;65;83;84;81;67;65;56;34;62;85;74;21;1;0;0;0;0;0;202222;1119;0
449;陆文博;Lu Wenbo;3;0;7;72;67;79;79;78;63;67;76;67;76;73;75;72;74;26;8;0;0;0;0;0;201600;1771;陆文博，男，1997年8月4日出生于黑龙江省绥化市，中国职业篮球运动员，司职小前锋，效力于CBA浙江稠州金牛俱乐部。
450;杜润旺;Du Runwang;4;0;7;67;73;70;69;82;69;79;56;72;70;68;71;74;73;24;6;0;0;0;0;0;201800;3135;杜润旺（1999年8月20日—），中国职业男子篮球运动员，司职锋线摇摆人，目前效力于CBA联盟的广东华南虎队，同时是中国国家男子篮球队集训队员。
451;贾斯汀-雷耶斯;Justin Reyes;3;0;7;69;75;66;75;79;63;64;73;75;72;74;73;70;73;28;0;0;0;0;0;0;0;5001;贾斯汀-雷耶斯是一名篮球运动员，1995 年 3 月 16 日出生于哈弗希尔。他身高六英尺四英寸（1米93/6-4）。他是一名小前锋，最近效力于意大利甲 2 联赛的里雅斯特帕拉卡内斯特罗队。
452;原修太;HARA Shuta;3;0;7;67;71;73;77;77;64;74;72;68;71;73;72;73;73;29;0;0;0;0;0;0;0;5001;千叶喷气机队
453;田中大贵;Daiki Tanaka;2;0;7;71;77;77;71;72;72;62;77;75;76;67;74;72;73;29;0;0;0;0;0;0;0;5001;东京电击
454;泽维尔-库克斯;Xavier Cooks;3;0;8;68;67;69;75;75;69;73;75;68;68;71;69;75;73;29;1;0;0;0;0;0;202200;2114;泽维尔-库克斯（Xavier Cooks，1995 年 8 月 19 日出生），澳大利亚职业篮球运动员，现效力于澳大利亚国家篮球联赛（NBL）悉尼国王队。他曾在温斯罗普老鹰队（Winthrop Eagles）打过大学篮球，并被评为 2018 年大南部联盟年度最佳球员。2022 年，他帮助悉尼国王队赢得 NBL 总冠军，同时获得总决赛 MVP 的荣誉。2023 年，他被评为 NBL MVP，并连续第二次获得 NBL 总冠军。
455;马蒂斯-塞布尔;Matisse Thybulle;2;3;8;59;68;70;70;85;78;60;88;67;64;68;64;82;73;26;4;0;0;0;0;0;201920;661;马蒂斯·文森特·塞布尔（英语：Matisse Vincent Thybulle，1997年3月4日—），美国及澳大利亚职业篮球运动员，现效力于NBA联盟波特兰拓荒者。他在2019年NBA选秀大会第一轮第20顺位被选中。
456;瓦埃尔-阿拉基;Wael Arakji;1;0;9;82;72;72;71;73;71;73;55;79;80;66;78;66;73;28;0;0;0;0;0;0;0;5001;瓦埃勒-阿拉克吉（阿拉伯语：وائل عرقجي,生于 1994 年 9 月 4 日），黎巴嫩篮球运动员，效力于黎巴嫩篮球联赛俱乐部 Al Riyadi Club Beirut 和黎巴嫩国家队。他的绰号是 可怕的人（阿拉伯语：الرهيب，罗马音：al-rahib）。
457;瓦伊达斯-卡里尼奥斯卡斯;Vaidas Kariniauskas;1;0;7;81;75;77;68;61;62;68;75;71;81;66;78;67;73;29;0;0;0;0;0;0;0;5001;0
458;亚库巴-瓦塔拉;Yakuba Ouattara;2;0;7;75;65;76;69;66;60;74;82;71;79;71;73;72;73;31;0;0;0;0;0;0;0;5001;0
459;莱斯特-基诺内斯;Lester Quinones;2;3;8;70;65;80;80;70;75;70;70;65;80;70;75;72;73;22;1;0;0;0;0;0;202200;2109;0
460;杰米-马隆佐;Jamie Malonzo;3;4;7;81;67;79;70;65;69;74;69;66;75;70;75;69;73;27;0;0;0;0;0;0;0;5001;0
461;基弗-拉韦纳;Kiefer Ravena;1;0;7;78;61;77;78;70;56;74;69;66;77;77;77;68;73;29;0;0;0;0;0;0;0;5001;0
462;法昆多-坎帕佐;Facundo Campazzo;1;2;8;82;67;71;71;73;56;71;75;65;75;68;75;71;73;31;2;0;0;0;0;0;202000;1123;法昆多-“法库” 坎帕佐（生于 1991 年 3 月 23 日），阿根廷职业篮球运动员，现效力于西班牙 ACB 联赛和欧洲联赛皇家马德里队。他身高 5 英尺 10 英寸（1.78 米），司职控球后卫。他还是阿根廷国家篮球队的成员。
463;伊森-汤普森;Ethan Thompson;2;0;7;80;74;73;70;64;68;63;75;70;74;70;75;68;72;24;0;0;0;0;0;0;0;5001;伊桑-伊万-汤普森（Ethan Ivan Thompson，1999 年 5 月 4 日出生）是波多黎各裔美国职业篮球运动员，效力于波多黎各国家高级篮球联赛（BSN）的奥索斯-德马纳蒂队。他曾在俄勒冈州立海狸队（Oregon State Beavers）打过大学篮球，并代表波多黎各国家队出战。
464;迈克-托比;Mike Tobey;5;0;9;63;78;66;72;68;77;69;55;81;71;72;74;69;72;28;0;0;0;0;0;0;0;5001;0
465;马吉里斯-诺尔曼塔斯;Margiris Normantas;2;1;7;80;67;70;62;76;68;66;78;67;70;65;70;74;72;26;0;0;0;0;0;0;0;5001;0
466;里戈韦托-门多萨;Rigoberto Mendoza;1;2;7;76;76;74;74;64;68;62;69;71;77;72;77;65;72;31;0;0;0;0;0;0;0;5001;0
