Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
195,Julian Champagnie,23,SAS,SF,82,29,23.6,3.4,8.1,.415,2.2,5.9,.371,1.2,2.3,.530,.549,1.0,1.1,.904,0.8,3.1,3.9,1.4,0.7,0.4,0.9,1.4,9.9,,champju02
196,Scotty Pippen Jr.,24,MEM,PG,79,21,21.3,3.6,7.5,.480,1.1,2.8,.397,2.5,4.7,.528,.553,1.5,2.2,.713,0.8,2.5,3.3,4.4,1.3,0.4,1.7,2.6,9.9,,pippesc02
197,Nick Smith Jr.,20,CHO,SG,60,27,22.8,3.7,9.5,.391,1.7,5.1,.340,2.0,4.4,.450,.482,0.7,0.8,.935,0.2,1.9,2.1,2.4,0.3,0.1,1.4,1.3,9.9,,smithni01
198,Bub Carrington,19,WAS,PG,82,57,30.0,3.7,9.1,.401,1.7,5.0,.339,2.0,4.2,.475,.493,0.8,1.0,.812,0.4,3.8,4.2,4.4,0.7,0.3,1.7,2.3,9.8,,carrica01
199,Moses Moody,22,GSW,SG,74,34,22.3,3.3,7.7,.433,1.7,4.6,.374,1.6,3.1,.519,.544,1.4,1.8,.797,0.7,1.9,2.6,1.3,0.8,0.4,0.7,1.6,9.8,,moodymo01
200,Amir Coffey,27,LAC,SG,72,13,24.3,3.3,7.1,.471,1.4,3.4,.409,1.9,3.7,.529,.570,1.6,1.8,.891,0.4,1.8,2.2,1.1,0.6,0.1,0.6,1.7,9.7,,coffeam01
201,Max Christie,21,2TM,SG,78,36,27.3,3.2,7.6,.427,1.5,4.0,.366,1.8,3.5,.496,.525,1.7,1.9,.855,0.5,2.8,3.3,1.9,0.8,0.4,1.1,1.5,9.6,,chrisma02
201,Max Christie,21,LAL,SG,46,25,25.1,2.8,6.3,.444,1.3,3.5,.368,1.5,2.7,.544,.549,1.6,1.9,.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,,chrisma02
201,Max Christie,21,DAL,SG,32,11,30.4,3.9,9.4,.411,1.7,4.7,.364,2.2,4.7,.457,.502,1.8,2.0,.862,0.4,3.8,4.2,2.5,0.9,0.3,1.5,1.3,11.2,,chrisma02
202,Kyle Filipowski,21,UTA,C,72,27,21.1,3.6,7.2,.502,1.1,3.1,.350,2.5,4.1,.614,.576,1.3,2.0,.650,1.6,4.6,6.1,1.9,0.7,0.3,1.4,2.4,9.6,,filipky01
203,Tosan Evbuomwan,23,BRK,SF,28,0,23.8,3.4,7.9,.427,0.9,2.8,.312,2.5,5.1,.490,.482,2.0,2.6,.753,1.1,3.1,4.3,2.0,0.9,0.4,1.4,2.0,9.5,,evbuoto01
204,Miles McBride,24,NYK,PG,64,10,24.9,3.5,8.5,.406,1.8,4.9,.369,1.7,3.7,.455,.511,0.8,1.0,.813,0.7,1.8,2.5,2.9,1.0,0.3,0.6,1.7,9.5,,mcbrimi01
205,Jalen Wilson,24,BRK,PF,79,22,25.7,3.1,7.8,.397,1.5,4.6,.337,1.6,3.3,.481,.495,1.7,2.1,.818,0.9,2.5,3.4,1.8,0.5,0.1,1.0,2.1,9.5,,wilsoja03
206,Nickeil Alexander-Walker,26,MIN,SG,82,10,25.3,3.3,7.5,.438,1.7,4.5,.381,1.6,3.0,.524,.553,1.1,1.4,.780,0.7,2.6,3.2,2.7,0.6,0.4,1.2,1.7,9.4,6MOY-6,alexani01
207,Cole Anthony,24,ORL,PG,67,22,18.4,3.4,8.1,.424,1.1,3.3,.353,2.3,4.9,.471,.494,1.4,1.7,.823,0.7,2.4,3.0,2.9,0.7,0.5,1.5,2.3,9.4,,anthoco01
208,Anthony Black,21,ORL,PG,78,10,24.2,3.4,7.9,.423,0.8,2.5,.318,2.6,5.4,.471,.473,1.9,2.5,.761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,2.1,9.4,,blackan01
209,Max Strus,28,CLE,SF,50,37,25.5,3.3,7.5,.442,2.3,5.9,.386,1.0,1.6,.650,.594,0.6,0.7,.824,1.1,3.3,4.3,3.2,0.5,0.2,1.1,2.1,9.4,,strusma01
210,Tristan Vukcevic,21,WAS,C,35,1,14.7,3.4,6.9,.496,1.1,2.9,.373,2.3,4.0,.586,.574,1.5,1.9,.776,0.7,3.0,3.7,1.1,0.3,0.7,1.2,1.6,9.4,,vukcetr01
211,Cam Whitmore,20,HOU,SF,51,3,16.2,3.5,7.9,.444,1.3,3.6,.355,2.2,4.3,.518,.525,1.1,1.4,.750,0.7,2.3,3.0,1.0,0.6,0.3,0.9,0.9,9.4,,whitmca01
212,Nick Richards,27,2TM,C,57,43,22.0,3.6,6.1,.591,0.0,0.0,.000,3.6,6.1,.594,.591,2.1,2.8,.744,2.6,5.6,8.2,0.9,0.2,1.0,1.4,2.5,9.3,,richani01
212,Nick Richards,27,CHO,C,21,9,21.0,3.0,5.4,.561,0.0,0.0,.000,3.0,5.4,.566,.561,2.8,4.1,.678,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9,,richani01
212,Nick Richards,27,PHO,C,36,34,22.7,3.9,6.5,.605,0.0,0.0,.000,3.9,6.4,.608,.605,1.7,2.0,.822,2.7,5.9,8.6,0.6,0.2,0.8,1.3,2.6,9.5,,richani01
213,Kel'el Ware,20,MIA,C,64,36,22.2,4.0,7.3,.554,0.5,1.7,.315,3.5,5.5,.629,.592,0.7,1.0,.687,1.8,5.6,7.4,0.9,0.6,1.1,0.9,1.7,9.3,ROY-6,wareke01
214,Zach Edey,22,MEM,C,66,55,21.5,3.8,6.6,.580,0.3,0.8,.346,3.5,5.8,.612,.600,1.4,1.9,.709,3.5,4.8,8.3,1.0,0.5,1.3,1.3,2.8,9.2,ROY-5,edeyza01
215,Wendell Carter Jr.,25,ORL,C,68,51,25.9,3.3,7.2,.460,0.5,2.3,.234,2.8,4.9,.568,.498,1.9,2.6,.737,2.2,5.0,7.2,2.0,0.8,0.6,1.1,2.9,9.1,,cartewe01
216,Noah Clowney,20,BRK,PF,46,20,22.7,2.9,8.1,.358,1.9,5.7,.333,1.0,2.4,.414,.474,1.5,1.7,.838,0.9,3.0,3.9,0.9,0.5,0.5,1.0,2.3,9.1,,clownno01
217,Dalton Knecht,23,LAL,SF,78,16,19.2,3.3,7.1,.461,1.6,4.4,.376,1.7,2.8,.594,.576,0.8,1.1,.762,0.5,2.3,2.8,0.8,0.3,0.1,0.5,1.2,9.1,,knechda01
218,A.J. Lawson,24,TOR,SG,26,2,18.7,3.1,7.3,.421,1.3,3.9,.327,1.8,3.4,.528,.508,1.7,2.4,.683,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,9.1,,lawsoaj01
219,T.J. McConnell,32,IND,PG,79,1,17.9,4.1,7.9,.519,0.2,0.6,.306,3.9,7.3,.537,.531,0.7,1.0,.740,0.6,1.9,2.4,4.4,1.1,0.3,1.4,1.0,9.1,,mccontj01
220,Yves Missi,20,NOP,C,73,67,26.8,3.7,6.7,.547,0.0,0.0,.000,3.7,6.7,.548,.547,1.7,2.8,.623,3.5,4.7,8.2,1.4,0.5,1.3,1.1,2.0,9.1,,missiyv01
221,Royce O'Neale,31,PHO,SF,75,22,24.5,3.2,7.6,.423,2.4,5.9,.406,0.8,1.7,.481,.580,0.3,0.3,.731,0.7,3.9,4.7,2.2,0.9,0.5,0.9,2.0,9.1,,onealro01
222,Jared Butler,24,2TM,SG,60,17,17.4,3.4,7.6,.448,1.0,2.8,.355,2.4,4.7,.504,.514,1.3,1.5,.824,0.4,1.4,1.8,3.7,0.7,0.2,1.3,1.6,9.0,,butleja02
222,Jared Butler,24,WAS,PG,32,0,11.3,2.7,5.5,.483,0.5,1.3,.366,2.2,4.2,.519,.526,1.1,1.4,.778,0.4,0.8,1.3,2.6,0.4,0.2,0.9,1.3,6.9,,butleja02
222,Jared Butler,24,PHI,SG,28,17,24.4,4.2,9.9,.426,1.6,4.6,.352,2.6,5.3,.490,.507,1.4,1.6,.870,0.4,2.1,2.5,4.9,1.1,0.3,1.8,2.0,11.5,,butleja02
223,Marcus Smart,30,2TM,PG,34,7,20.0,3.0,7.6,.393,1.4,4.1,.348,1.5,3.4,.448,.488,1.6,2.1,.761,0.5,1.6,2.1,3.2,1.1,0.3,1.6,1.6,9.0,,smartma01
223,Marcus Smart,30,MEM,PG,19,6,21.1,2.8,7.8,.358,1.5,4.7,.322,1.3,3.1,.414,.456,1.6,1.9,.833,0.7,1.5,2.3,3.7,1.2,0.3,1.8,1.6,8.7,,smartma01
223,Marcus Smart,30,WAS,PG,15,1,18.7,3.2,7.3,.440,1.3,3.4,.392,1.9,3.9,.483,.532,1.6,2.3,.686,0.3,1.7,1.9,2.5,1.1,0.2,1.3,1.5,9.3,,smartma01
224,Draymond Green,34,GSW,PF,68,66,29.2,3.2,7.5,.424,1.2,3.6,.325,2.0,3.9,.517,.503,1.5,2.2,.687,1.1,5.0,6.1,5.6,1.5,1.0,2.6,3.2,9.0,DPOY-3DEF1,greendr01
225,Killian Hayes,23,BRK,PG,6,5,27.0,3.0,7.2,.419,1.3,3.5,.381,1.7,3.7,.455,.512,1.7,2.0,.833,0.8,2.2,3.0,5.2,0.7,0.7,1.5,2.2,9.0,,hayeski01
226,Al Horford,38,BOS,C,60,42,27.7,3.3,7.7,.423,1.9,5.2,.363,1.4,2.5,.551,.547,0.6,0.6,.895,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,9.0,,horfoal01
227,Julian Strawther,22,DEN,SG,65,4,21.3,3.2,7.5,.432,1.4,4.1,.349,1.8,3.3,.535,.529,1.1,1.4,.822,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.3,9.0,,strawju01
228,Patrick Williams,23,CHI,PF,63,36,25.0,3.3,8.2,.397,1.5,4.3,.353,1.7,3.9,.447,.490,1.0,1.3,.723,0.7,3.1,3.8,2.0,0.8,0.5,1.4,1.4,9.0,,willipa01
229,Jusuf Nurkić,30,2TM,C,51,32,20.8,3.3,6.9,.477,0.6,2.1,.305,2.7,4.8,.551,.523,1.7,2.5,.664,1.7,6.1,7.8,2.3,0.8,0.7,1.9,2.5,8.9,,nurkiju01
229,Jusuf Nurkić,30,PHO,C,25,23,23.7,3.0,6.5,.454,0.8,2.4,.322,2.2,4.2,.529,.512,1.9,2.8,.696,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6,,nurkiju01
229,Jusuf Nurkić,30,CHO,C,26,9,18.1,3.6,7.3,.497,0.5,1.8,.283,3.1,5.5,.566,.532,1.4,2.3,.627,1.5,5.0,6.5,2.6,0.7,0.7,1.5,2.0,9.2,,nurkiju01
230,Clint Capela,30,ATL,C,55,41,21.4,4.0,7.1,.559,0.0,0.0,.000,4.0,7.1,.560,.559,0.9,1.8,.536,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9,8.9,,capelca01
231,Johnny Juzang,23,UTA,SG,64,18,19.8,3.2,7.4,.429,1.8,4.9,.376,1.3,2.5,.534,.554,0.7,0.8,.849,0.7,2.2,2.9,1.1,0.6,0.1,0.6,2.0,8.9,,juzanjo01
232,Luke Kennard,28,MEM,SG,65,11,22.6,3.2,6.6,.478,1.7,4.0,.433,1.4,2.6,.547,.609,0.8,0.9,.895,0.6,2.2,2.8,3.3,0.8,0.1,1.1,0.9,8.9,,kennalu01
233,Justin Champagnie,23,WAS,SF,62,31,21.6,3.4,6.6,.511,1.2,3.1,.383,2.2,3.5,.624,.601,0.8,1.2,.685,1.8,3.9,5.7,1.0,1.0,0.6,0.9,1.8,8.8,,champju01
234,Svi Mykhailiuk,27,UTA,SF,38,13,20.0,3.1,7.9,.391,1.8,5.3,.345,1.3,2.6,.485,.507,0.7,0.9,.800,0.6,1.8,2.4,2.0,0.5,0.2,1.4,1.1,8.8,,mykhasv01
235,Chris Paul,39,SAS,PG,82,82,28.0,3.0,7.1,.427,1.7,4.5,.377,1.3,2.6,.514,.547,1.0,1.1,.924,0.4,3.2,3.6,7.4,1.3,0.3,1.6,1.8,8.8,,paulch01
236,Kelly Olynyk,33,2TM,C,44,22,20.3,3.0,6.1,.500,0.8,1.8,.418,2.3,4.3,.534,.562,1.9,2.5,.769,1.4,3.3,4.7,2.9,0.8,0.4,1.7,2.8,8.7,,olynyke01
236,Kelly Olynyk,33,TOR,C,24,2,16.0,2.5,4.9,.500,0.8,1.8,.442,1.7,3.1,.533,.581,1.4,1.8,.791,1.0,2.7,3.7,2.3,0.7,0.3,1.5,2.5,7.1,,olynyke01
236,Kelly Olynyk,33,NOP,C,20,20,25.4,3.8,7.5,.500,0.7,1.8,.389,3.1,5.7,.535,.547,2.5,3.3,.754,1.9,4.0,5.9,3.6,0.9,0.6,2.1,3.2,10.7,,olynyke01
237,Dorian Finney-Smith,31,2TM,PF,63,40,28.9,3.1,6.9,.448,2.0,5.0,.411,1.0,1.9,.545,.597,0.5,0.7,.667,1.3,2.7,3.9,1.4,0.9,0.4,0.9,2.2,8.7,,finnedo01
237,Dorian Finney-Smith,31,BRK,PF,20,20,29.0,3.7,8.0,.459,2.4,5.4,.435,1.3,2.6,.510,.607,0.8,1.2,.625,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,10.4,,finnedo01
237,Dorian Finney-Smith,31,LAL,PF,43,20,28.8,2.8,6.4,.442,1.9,4.8,.398,0.9,1.6,.571,.591,0.3,0.5,.714,1.1,2.5,3.6,1.4,0.9,0.3,0.9,1.9,7.9,,finnedo01
238,Oshae Brissett,26,PHI,SF,6,2,23.7,3.2,6.5,.487,1.0,3.0,.333,2.2,3.5,.619,.564,1.3,2.3,.571,1.2,2.5,3.7,0.7,0.7,0.5,1.3,2.3,8.7,,brissos01
239,Kentavious Caldwell-Pope,31,ORL,SG,77,77,29.6,3.1,7.1,.439,1.5,4.3,.342,1.6,2.8,.589,.543,1.1,1.2,.863,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7,,caldwke01
240,Isaiah Collier,20,UTA,PG,71,46,25.9,3.3,7.8,.422,0.6,2.4,.249,2.7,5.4,.497,.459,1.5,2.2,.682,0.5,2.9,3.3,6.3,0.9,0.2,2.9,2.1,8.7,,colliis01
241,Dante Exum,29,DAL,PG,20,13,18.6,3.2,6.7,.478,1.2,2.7,.434,2.1,4.1,.506,.563,1.2,1.6,.742,0.2,1.5,1.7,2.8,0.6,0.2,1.1,1.7,8.7,,exumda01
242,Kyshawn George,21,WAS,SG,68,38,26.5,3.0,8.0,.372,1.7,5.2,.322,1.3,2.8,.464,.476,1.0,1.4,.753,0.7,3.5,4.2,2.5,1.0,0.7,1.4,3.0,8.7,,georgky01
243,Jaden Hardy,22,DAL,SG,57,3,15.9,3.2,7.3,.435,1.3,3.5,.386,1.8,3.8,.479,.527,1.1,1.5,.698,0.2,1.4,1.6,1.4,0.5,0.1,1.4,1.6,8.7,,hardyja02
244,Dereck Lively II,20,DAL,C,36,29,23.1,3.7,5.3,.702,0.0,0.0,,3.7,5.3,.702,.702,1.3,2.0,.630,2.9,4.6,7.5,2.4,0.6,1.6,1.1,2.8,8.7,,livelde01
245,Tyrese Martin,25,BRK,SG,60,11,21.9,3.2,7.8,.406,1.7,4.7,.351,1.5,3.1,.492,.513,0.8,1.0,.793,1.0,2.7,3.7,2.0,0.6,0.2,1.2,1.3,8.7,,martity01
246,Matas Buzelis,20,CHI,SF,80,31,18.9,3.2,6.9,.454,1.2,3.3,.361,2.0,3.6,.540,.541,1.1,1.4,.815,0.7,2.8,3.5,1.0,0.4,0.9,0.9,1.6,8.6,ROY-7,buzelma01
247,Jaime Jaquez Jr.,23,MIA,SF,66,17,20.7,3.2,7.0,.461,0.6,1.8,.311,2.7,5.2,.513,.501,1.6,2.2,.754,1.3,3.1,4.4,2.5,0.9,0.2,1.5,1.2,8.6,,jaqueja01
248,Ja'Kobe Walter,20,TOR,SG,52,18,21.2,3.1,7.6,.405,1.3,3.6,.349,1.8,4.0,.454,.487,1.3,1.6,.795,1.1,1.9,3.1,1.6,0.8,0.2,1.0,1.8,8.6,,walteja01
249,Sam Hauser,27,BOS,PF,71,19,21.7,3.0,6.7,.451,2.3,5.6,.416,0.7,1.1,.640,.627,0.2,0.2,1.000,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,8.5,,hausesa01
250,Larry Nance Jr.,32,ATL,PF,24,3,19.3,3.3,6.5,.516,1.4,3.2,.447,1.9,3.3,.582,.626,0.4,0.5,.692,1.0,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5,,nancela02
251,Jared Rhoden,25,2TM,SG,14,2,16.2,3.0,6.2,.483,0.9,2.8,.308,2.1,3.4,.625,.552,1.6,1.8,.880,1.0,2.0,3.0,1.1,0.7,0.1,0.6,1.4,8.4,,rhodeja01
251,Jared Rhoden,25,CHO,SG,4,0,3.0,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0,,rhodeja01
251,Jared Rhoden,25,TOR,SG,10,2,21.5,4.0,7.9,.506,1.2,3.7,.324,2.8,4.2,.667,.582,2.2,2.5,.880,1.2,2.6,3.8,1.4,0.9,0.2,0.8,1.9,11.4,,rhodeja01
252,Jaylen Nowell,25,NOP,SG,8,0,21.0,3.3,9.1,.356,1.0,3.4,.296,2.3,5.8,.391,.411,0.9,1.4,.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,,nowelja01
253,Cason Wallace,21,OKC,SG,68,43,27.6,3.4,7.2,.474,1.1,3.1,.356,2.3,4.1,.562,.550,0.4,0.5,.811,1.0,2.3,3.4,2.5,1.8,0.5,0.9,2.1,8.4,,wallaca01
254,Bruce Brown,28,2TM,PG,41,12,22.5,3.2,7.5,.421,0.7,2.0,.333,2.5,5.6,.452,.464,1.3,1.6,.815,1.0,3.0,4.0,2.0,0.8,0.2,1.0,1.7,8.3,,brownbr01
254,Bruce Brown,28,TOR,PG,18,0,19.6,3.2,7.3,.435,0.6,2.0,.306,2.6,5.3,.484,.477,1.4,1.6,.897,0.9,2.8,3.8,1.6,0.9,0.2,1.1,1.4,8.4,,brownbr01
254,Bruce Brown,28,NOP,PG,23,12,24.7,3.2,7.7,.410,0.7,2.0,.356,2.5,5.8,.429,.455,1.2,1.6,.750,1.0,3.2,4.2,2.4,0.7,0.3,0.9,2.0,8.2,,brownbr01
255,Dalano Banton,25,POR,PG,67,7,16.7,3.0,7.6,.391,1.1,3.3,.324,1.9,4.3,.442,.462,1.4,1.9,.728,0.4,1.6,2.0,2.4,0.6,0.5,1.3,0.9,8.3,,bantoda01
256,Brandon Clarke,28,MEM,PF,64,18,18.9,3.7,5.9,.621,0.0,0.3,.059,3.7,5.7,.647,.622,1.0,1.4,.701,2.0,3.1,5.1,1.0,0.8,0.6,0.6,2.3,8.3,,clarkbr01
257,Keon Ellis,25,SAC,SG,80,28,24.4,2.8,5.8,.489,1.7,4.0,.433,1.1,1.8,.615,.639,0.9,1.1,.849,0.8,1.9,2.7,1.5,1.5,0.8,0.9,2.2,8.3,,elliske01
258,Brandon Williams,25,DAL,PG,33,3,14.8,3.0,5.7,.521,0.7,1.8,.400,2.2,3.9,.578,.585,1.7,2.0,.833,0.4,1.4,1.8,2.3,0.7,0.2,1.2,1.0,8.3,,willibr03
259,Mike Conley,37,MIN,PG,71,64,24.7,2.6,6.6,.400,1.8,4.4,.410,0.8,2.2,.380,.535,1.1,1.3,.900,0.5,2.1,2.6,4.5,1.1,0.2,1.1,1.6,8.2,,conlemi01
260,Taurean Prince,30,MIL,SF,80,73,27.1,2.9,6.4,.457,1.8,4.2,.439,1.1,2.2,.492,.600,0.5,0.6,.813,0.4,3.2,3.6,1.9,1.0,0.2,1.0,2.1,8.2,,princta02
261,Jalen Smith,24,CHI,C,64,2,15.0,3.0,6.4,.466,1.1,3.5,.324,1.8,2.9,.634,.554,1.1,1.4,.809,1.4,4.2,5.6,1.0,0.3,0.7,0.6,1.5,8.2,,smithja04
262,Quinten Post,24,GSW,PF,42,14,16.3,2.9,6.5,.449,1.7,4.3,.408,1.2,2.3,.526,.582,0.5,0.6,.778,0.8,2.7,3.5,1.3,0.4,0.4,0.8,2.0,8.1,,postqu01
263,Peyton Watson,22,DEN,SF,68,18,24.4,3.0,6.3,.477,0.7,2.0,.353,2.3,4.3,.534,.533,1.4,2.0,.693,0.7,2.7,3.4,1.4,0.7,1.4,0.8,1.8,8.1,,watsope01
264,Davion Mitchell,26,2TM,PG,74,37,27.4,3.0,6.4,.468,1.1,2.9,.398,1.9,3.6,.525,.557,0.8,1.1,.690,0.5,1.8,2.3,4.9,1.0,0.2,1.7,2.5,7.9,,mitchda01
264,Davion Mitchell,26,TOR,PG,44,22,24.5,2.4,5.5,.434,1.0,2.7,.359,1.5,2.9,.504,.520,0.6,0.8,.676,0.4,1.6,1.9,4.6,0.7,0.2,1.8,2.6,6.3,,mitchda01
264,Davion Mitchell,26,MIA,PG,30,15,31.6,3.9,7.7,.504,1.4,3.1,.447,2.5,4.6,.543,.595,1.1,1.6,.702,0.6,2.1,2.7,5.3,1.4,0.3,1.7,2.3,10.3,,mitchda01
265,Caleb Martin,29,2TM,SF,45,24,27.1,2.9,6.8,.424,0.8,2.3,.359,2.0,4.5,.458,.485,1.4,2.2,.622,1.2,2.8,3.9,2.1,1.0,0.5,1.2,1.9,7.9,,martica02
265,Caleb Martin,29,PHI,SF,31,24,30.4,3.3,7.5,.435,1.1,2.8,.379,2.2,4.7,.469,.506,1.5,2.4,.622,1.4,3.0,4.4,2.2,1.1,0.6,1.4,2.0,9.1,,martica02
265,Caleb Martin,29,DAL,SF,14,0,19.6,2.0,5.1,.389,0.3,1.1,.250,1.7,4.0,.429,.417,1.1,1.7,.625,0.7,2.2,2.9,1.9,0.9,0.2,0.9,1.7,5.4,,martica02
266,Tyson Etienne,25,BRK,PG,7,0,21.6,2.4,7.4,.327,1.9,6.3,.295,0.6,1.1,.500,.452,1.1,1.4,.800,0.4,0.9,1.3,1.7,0.4,0.1,1.1,2.4,7.9,,etienty01
267,Day'Ron Sharpe,23,BRK,C,50,2,18.1,3.3,6.3,.521,0.2,0.9,.244,3.1,5.4,.566,.538,1.1,1.5,.757,3.0,3.6,6.6,1.8,0.8,0.8,1.3,2.3,7.9,,sharpda01
268,KJ Simpson,22,CHO,PG,36,15,23.4,2.9,8.4,.346,0.9,3.6,.254,2.0,4.8,.415,.400,1.1,1.4,.820,1.1,1.9,3.0,3.1,0.9,0.2,1.6,1.6,7.8,,simpskj01
269,Terance Mann,28,2TM,SG,67,13,21.1,3.1,6.2,.496,0.9,2.4,.368,2.2,3.7,.580,.569,0.7,1.0,.691,1.0,2.0,3.0,1.8,0.7,0.2,0.7,1.9,7.7,,mannte01
269,Terance Mann,28,LAC,SG,37,12,19.8,2.4,5.3,.446,0.7,2.0,.347,1.6,3.2,.508,.513,0.6,0.9,.719,0.9,2.0,2.9,1.6,0.8,0.3,0.7,1.8,6.0,,mannte01
269,Terance Mann,28,ATL,SG,30,1,22.7,3.9,7.3,.541,1.1,2.9,.386,2.8,4.3,.646,.619,0.8,1.2,.667,1.2,1.9,3.1,2.1,0.6,0.1,0.7,2.0,9.8,,mannte01
270,Karlo Matković,23,NOP,PF,42,7,18.8,3.2,5.6,.574,0.5,1.6,.318,2.7,4.0,.675,.619,0.8,1.0,.773,1.5,3.5,5.0,1.1,0.5,1.0,1.0,2.5,7.7,,matkoka01
271,AJ Johnson,20,2TM,SG,29,11,22.0,2.8,7.3,.385,0.8,3.1,.267,2.0,4.2,.472,.441,1.1,1.3,.865,0.3,1.8,2.0,2.6,0.4,0.1,1.2,1.7,7.6,,johnsaj01
271,AJ Johnson,20,MIL,SG,7,0,6.3,1.1,2.7,.421,0.4,0.7,.600,0.7,2.0,.357,.500,0.1,0.3,.500,0.0,1.0,1.0,1.0,0.1,0.0,0.6,0.0,2.9,,johnsaj01
271,AJ Johnson,20,WAS,SG,22,11,27.0,3.4,8.8,.381,1.0,3.9,.247,2.4,5.0,.486,.436,1.4,1.6,.886,0.4,2.0,2.4,3.1,0.5,0.1,1.4,2.3,9.1,,johnsaj01
272,Lonzo Ball,27,CHI,PG,35,14,22.2,2.5,6.9,.366,1.9,5.6,.344,0.6,1.4,.458,.504,0.6,0.8,.815,0.7,2.7,3.4,3.3,1.3,0.5,1.2,1.6,7.6,,balllo01
273,Oscar Tshiebwe,25,UTA,C,14,1,18.2,3.0,5.0,.600,0.0,0.0,,3.0,5.0,.600,.600,1.6,2.2,.742,3.3,5.4,8.7,0.6,0.9,0.1,0.7,1.7,7.6,,tshieos01
274,Garrison Mathews,28,ATL,SG,47,2,17.7,2.2,5.5,.397,1.8,4.6,.390,0.4,0.8,.436,.562,1.4,1.7,.821,0.3,1.6,1.9,1.3,0.6,0.3,0.7,1.7,7.5,,mathega01
275,Matisse Thybulle,27,POR,SG,15,5,20.8,2.8,5.9,.477,1.4,3.2,.438,1.4,2.7,.525,.597,0.5,1.0,.467,0.9,2.5,3.5,1.9,2.2,0.6,0.9,0.9,7.5,,thybuma01
276,A.J. Green,25,MIL,SG,73,7,22.7,2.5,5.8,.429,2.1,5.0,.427,0.4,0.8,.443,.612,0.3,0.4,.815,0.2,2.1,2.4,1.5,0.5,0.1,0.5,2.2,7.4,,greenaj01
277,Josh Green,24,CHO,SG,68,67,27.8,2.6,6.2,.428,1.4,3.6,.391,1.2,2.5,.480,.543,0.7,1.1,.681,0.8,1.7,2.5,1.6,1.1,0.2,1.0,2.4,7.4,,greenjo02
278,Richaun Holmes,31,WAS,PF,31,7,17.2,2.9,4.5,.647,0.0,0.1,.000,2.9,4.4,.662,.647,1.6,1.9,.833,2.0,3.7,5.7,1.4,0.3,0.7,0.7,1.6,7.4,,holmeri01
279,Damion Baugh,24,CHO,SG,15,2,24.7,2.8,8.7,.323,0.8,3.7,.214,2.0,4.9,.405,.369,0.9,1.0,.867,0.9,2.4,3.3,3.7,1.0,0.1,2.1,1.5,7.3,,baughda01
280,Alec Burks,33,MIA,SG,49,14,17.6,2.3,5.5,.424,1.8,4.2,.425,0.6,1.3,.422,.587,0.8,1.0,.776,0.3,2.2,2.5,1.1,0.6,0.1,0.6,0.8,7.3,,burksal01
281,Ricky Council IV,23,PHI,SF,73,12,17.1,2.4,6.3,.382,0.8,2.9,.258,1.7,3.4,.488,.442,1.7,2.1,.804,0.7,2.2,2.9,1.3,0.4,0.2,0.7,0.9,7.3,,councri01
282,Andre Drummond,31,PHI,C,40,23,18.8,2.9,5.9,.500,0.1,0.5,.150,2.9,5.4,.533,.506,1.4,2.3,.622,2.7,5.0,7.8,0.9,1.0,0.5,1.4,2.4,7.3,,drumman01
283,Tre Jones,25,2TM,PG,46,9,19.7,2.8,5.2,.538,0.4,1.0,.396,2.4,4.1,.574,.578,1.2,1.5,.821,0.7,1.8,2.5,4.2,0.8,0.2,0.8,1.2,7.2,,jonestr01
283,Tre Jones,25,SAS,PG,28,0,16.1,1.6,3.3,.484,0.3,0.9,.308,1.3,2.4,.552,.527,0.9,1.2,.758,0.5,1.5,2.1,3.7,0.6,0.2,0.8,1.2,4.4,,jonestr01
283,Tre Jones,25,CHI,PG,18,9,25.3,4.6,8.1,.572,0.6,1.2,.500,4.0,6.8,.585,.610,1.7,1.9,.882,0.9,2.3,3.2,4.9,1.1,0.3,0.8,1.2,11.5,,jonestr01
284,Goga Bitadze,25,ORL,C,70,42,20.4,3.0,4.8,.611,0.0,0.4,.107,2.9,4.4,.656,.615,1.2,1.9,.639,2.4,4.2,6.6,2.0,0.7,1.4,1.0,2.1,7.2,,bitadgo01
